,experiment,start,end,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,bandwidth,messageOverhead,propagationTime
0,390,2023-10-04 18:52:03.0807730,2023-10-04 19:22:03.0866518,unl,8,6,12,4,8,2,0.25,1.0,285.93351058559887,2473589,2150.6362019010826
1,391,2023-10-04 19:25:37.1533399,2023-10-04 19:55:37.1555856,unl,8,6,12,4,8,2,0.25,1.0,195.67531142886284,1681977,1886.4527609082384
2,392,2023-10-04 19:59:12.6589825,2023-10-04 20:29:12.6608307,unl,8,6,12,4,8,2,0.25,1.0,86.26880031000181,1379082,1796.1055025824394
3,393,2023-10-04 20:32:47.3098616,2023-10-04 21:02:47.3149178,unl,8,6,12,4,8,2,0.25,3.0,108.486361928476,1948016,2027.536181194946
4,394,2023-10-04 21:06:22.7755634,2023-10-04 21:36:22.7788800,unl,8,6,12,4,8,2,0.25,3.0,94.08538219801189,1843504,2079.683078563811
5,395,2023-10-04 21:39:58.6528165,2023-10-04 22:09:58.6545536,unl,8,6,12,4,8,2,0.25,3.0,36.9288532504939,687571,1934.7249392509007
6,396,2023-10-04 22:13:33.8146704,2023-10-04 22:43:33.8174094,unl,16,8,20,16,8,4,0.5,1.0,79.77765638277731,1428674,2048.1561179979653
7,397,2023-10-04 22:47:09.3837110,2023-10-04 23:17:09.3868442,unl,16,8,20,16,8,4,0.5,1.0,69.53487896295401,1428254,1808.9036940848127
8,398,2023-10-04 23:20:44.6001719,2023-10-04 23:50:44.6033804,unl,16,8,20,16,8,4,0.5,1.0,7.107765108186472,141417,384.88444444444445
9,402,2023-10-05 01:35:05.2471450,2023-10-05 02:05:05.2498822,unl,16,8,20,16,8,4,0.5,0.5,75.66155161066719,289177,2075.841833256361
10,403,2023-10-05 02:08:38.8365774,2023-10-05 02:38:38.8388547,unl,16,8,20,16,8,4,0.5,0.5,114.6370771872134,426701,4606.349313715809
11,404,2023-10-05 02:42:12.1044873,2023-10-05 03:12:12.1564872,unl,16,8,20,16,8,4,0.5,0.5,126.4352363224193,762906,6448.602169805174
12,405,2023-10-05 03:15:44.6418112,2023-10-05 03:45:44.6440687,unl,6,4,8,2,2,2,0.25,1.0,216.06028457994864,1490947,2798.031662675663
13,406,2023-10-05 03:49:18.1204295,2023-10-05 04:19:18.1229836,unl,6,4,8,2,2,2,0.25,1.0,274.2557219574781,1778309,2816.746287885261
14,407,2023-10-05 04:22:52.2414740,2023-10-05 04:52:52.2462956,unl,6,4,8,2,2,2,0.25,1.0,49.062646355302405,302551,1308.006432748538
