,experiment,_time,messageDuplicated,messageReceived,graft,prune,iwant,ihave
0,390,2023-10-04 18:52:00+00:00,8684.0,1193.0,0.0,0.0,0.0,698.0
1,390,2023-10-04 18:52:10+00:00,16138.0,2188.0,0.0,0.0,0.0,1032.0
2,390,2023-10-04 18:52:20+00:00,13689.0,1874.0,0.0,0.0,0.0,1339.0
3,390,2023-10-04 18:52:30+00:00,13750.0,1898.0,0.0,0.0,0.0,963.0
4,390,2023-10-04 18:52:40+00:00,13993.0,1930.0,0.0,0.0,2.0,968.0
5,390,2023-10-04 18:52:50+00:00,16160.0,2210.0,0.0,0.0,0.0,1283.0
6,390,2023-10-04 18:53:00+00:00,13942.0,1926.0,0.0,0.0,0.0,970.0
7,390,2023-10-04 18:53:10+00:00,14533.0,2002.0,0.0,0.0,0.0,961.0
8,390,2023-10-04 18:53:20+00:00,15959.0,2179.0,0.0,0.0,0.0,1292.0
9,390,2023-10-04 18:53:30+00:00,14792.0,2039.0,0.0,0.0,0.0,957.0
10,390,2023-10-04 18:53:40+00:00,13902.0,1910.0,0.0,0.0,0.0,963.0
11,390,2023-10-04 18:53:50+00:00,14715.0,2001.0,0.0,0.0,0.0,1285.0
12,390,2023-10-04 18:54:00+00:00,13372.0,1829.0,0.0,0.0,0.0,967.0
13,390,2023-10-04 18:54:10+00:00,13634.0,1865.0,0.0,0.0,0.0,959.0
14,390,2023-10-04 18:54:20+00:00,15663.0,2161.0,0.0,0.0,0.0,1283.0
15,390,2023-10-04 18:54:30+00:00,15640.0,2120.0,0.0,0.0,0.0,968.0
16,390,2023-10-04 18:54:40+00:00,12699.0,1770.0,0.0,0.0,0.0,925.0
17,390,2023-10-04 18:54:50+00:00,11112.0,1592.0,0.0,0.0,0.0,1145.0
18,390,2023-10-04 18:55:00+00:00,12868.0,1827.0,0.0,0.0,0.0,866.0
19,390,2023-10-04 18:55:10+00:00,11509.0,1636.0,0.0,0.0,0.0,857.0
20,390,2023-10-04 18:55:20+00:00,11117.0,1568.0,0.0,0.0,0.0,1140.0
21,390,2023-10-04 18:55:30+00:00,12213.0,1736.0,0.0,0.0,0.0,858.0
22,390,2023-10-04 18:55:40+00:00,12335.0,1753.0,0.0,0.0,0.0,853.0
