,experiment,start,end,topology,parameter,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,startUnix,endUnix,count
0,386,2023-10-04 14:18:48.4409855,2023-10-04 14:33:48.4430498,unl,reference,8,6,12,4,8,2,0.25,1.0,1696429128,1696430028,128631
3,389,2023-10-04 17:00:47.8475357,2023-10-04 17:15:47.8502305,unl,reference,8,6,12,4,8,2,0.25,1.0,1696438847,1696439747,18248
4,390,2023-10-04 18:52:03.0807730,2023-10-04 19:22:03.0866518,unl,reference,8,6,12,4,8,2,0.25,1.0,1696445523,1696447323,344487
5,391,2023-10-04 19:25:37.1533399,2023-10-04 19:55:37.1555856,unl,reference,8,6,12,4,8,2,0.25,1.0,1696447537,1696449337,244016
6,392,2023-10-04 19:59:12.6589825,2023-10-04 20:29:12.6608307,unl,reference,8,6,12,4,8,2,0.25,1.0,1696449552,1696451352,130775
7,393,2023-10-04 20:32:47.3098616,2023-10-04 21:02:47.3149178,unl,informed,8,6,12,4,8,2,0.25,3.0,1696451567,1696453367,194668
8,394,2023-10-04 21:06:22.7755634,2023-10-04 21:36:22.7788800,unl,informed,8,6,12,4,8,2,0.25,3.0,1696453582,1696455382,165538
9,395,2023-10-04 21:39:58.6528165,2023-10-04 22:09:58.6545536,unl,informed,8,6,12,4,8,2,0.25,3.0,1696455598,1696457398,64772
10,396,2023-10-04 22:13:33.8146704,2023-10-04 22:43:33.8174094,unl,informed0,16,8,20,16,8,4,0.5,1.0,1696457613,1696459413,141092
11,397,2023-10-04 22:47:09.3837110,2023-10-04 23:17:09.3868442,unl,informed0,16,8,20,16,8,4,0.5,1.0,1696459629,1696461429,125279
12,398,2023-10-04 23:20:44.6001719,2023-10-04 23:50:44.6033804,unl,informed0,16,8,20,16,8,4,0.5,1.0,1696461644,1696463444,12799
15,401,2023-10-05 01:01:29.7404689,2023-10-05 01:31:29.7447830,unl,informed1,16,8,20,16,8,4,0.5,3.0,1696467689,1696469489,24429
16,402,2023-10-05 01:35:05.2471450,2023-10-05 02:05:05.2498822,unl,informed2,16,8,20,16,8,4,0.5,0.5,1696469705,1696471505,90976
17,403,2023-10-05 02:08:38.8365774,2023-10-05 02:38:38.8388547,unl,informed2,16,8,20,16,8,4,0.5,0.5,1696471718,1696473518,108285
18,404,2023-10-05 02:42:12.1044873,2023-10-05 03:12:12.1564872,unl,informed2,16,8,20,16,8,4,0.5,0.5,1696473732,1696475532,156688
19,405,2023-10-05 03:15:44.6418112,2023-10-05 03:45:44.6440687,unl,informed3,6,4,8,2,2,2,0.25,1.0,1696475744,1696477544,307237
20,406,2023-10-05 03:49:18.1204295,2023-10-05 04:19:18.1229836,unl,informed3,6,4,8,2,2,2,0.25,1.0,1696477758,1696479558,354105
21,407,2023-10-05 04:22:52.2414740,2023-10-05 04:52:52.2462956,unl,informed3,6,4,8,2,2,2,0.25,1.0,1696479772,1696481572,58598
24,410,2023-10-05 06:03:34.3244948,2023-10-05 06:33:34.3261479,unl,informed4,6,4,8,2,2,4,4.25,3.0,1696485814,1696487614,20653
25,411,2023-10-05 06:37:09.0033142,2023-10-05 07:07:09.0625238,unl,informed5,6,4,8,2,2,4,0.25,0.5,1696487829,1696489629,73952
26,412,2023-10-05 07:10:41.3942831,2023-10-05 07:40:41.4330557,unl,informed5,6,4,8,2,2,4,0.25,0.5,1696489841,1696491641,129844
27,413,2023-10-05 07:44:14.5138817,2023-10-05 08:14:14.5187431,unl,informed5,6,4,8,2,2,4,0.25,0.5,1696491854,1696493654,151914
28,414,2023-10-05 08:17:47.6568938,2023-10-05 08:47:47.6624653,unl,informed6,20,16,24,8,16,8,0.5,1.0,1696493867,1696495667,159945
29,415,2023-10-05 08:51:21.4260510,2023-10-05 09:21:21.4318060,unl,informed6,20,16,24,8,16,8,0.5,1.0,1696495881,1696497681,212491
30,416,2023-10-05 09:24:55.1451212,2023-10-05 09:54:55.1473148,unl,informed6,20,16,24,8,16,8,0.5,1.0,1696497895,1696499695,207303
31,417,2023-10-05 09:58:28.9436344,2023-10-05 10:28:28.9470953,unl,informed7,16,8,20,4,8,2,0.5,1.0,1696499908,1696501708,216959
32,418,2023-10-05 10:32:02.5356894,2023-10-05 11:02:02.5414324,unl,informed7,16,8,20,4,8,2,0.5,1.0,1696501922,1696503722,179373
33,419,2023-10-05 11:05:36.3102162,2023-10-05 11:35:36.3128990,unl,informed7,16,8,20,4,8,2,0.5,1.0,1696503936,1696505736,200116
34,420,2023-10-05 11:39:10.5516817,2023-10-05 12:09:10.5571911,unl,informed8,16,8,20,8,8,4,0.25,1.0,1696505950,1696507750,178088
35,421,2023-10-05 12:12:45.3317365,2023-10-05 12:42:45.3357632,unl,informed8,16,8,20,8,8,4,0.25,1.0,1696507965,1696509765,218595
36,422,2023-10-05 12:46:21.4449570,2023-10-05 13:16:21.4469923,unl,informed8,16,8,20,8,8,4,0.25,1.0,1696509981,1696511781,172526
37,423,2023-10-05 13:19:56.8543519,2023-10-05 13:49:56.8577023,unl,random1,16,8,20,4,8,2,0.25,1.0,1696511996,1696513796,120769
38,424,2023-10-05 13:53:32.8815014,2023-10-05 14:23:32.8836387,unl,random1,16,8,20,4,8,2,0.25,1.0,1696514012,1696515812,98115
39,425,2023-10-05 14:27:08.8457042,2023-10-05 14:57:08.8495189,unl,random1,16,8,20,4,8,2,0.25,1.0,1696516028,1696517828,110089
40,426,2023-10-05 15:00:43.8038524,2023-10-05 15:30:43.8067712,unl,random2,8,6,16,4,8,2,0.25,1.0,1696518043,1696519843,138518
41,427,2023-10-05 15:34:19.0642570,2023-10-05 16:04:19.0670204,unl,random2,8,6,16,4,8,2,0.25,1.0,1696520059,1696521859,115346
48,434,2023-10-05 19:29:22.2154792,2023-10-05 19:59:22.2174208,unl,random4,16,8,20,4,8,2,0.25,0.5,1696534162,1696535962,1767
49,435,2023-10-05 20:02:55.7276692,2023-10-05 20:32:55.7397385,unl,random5,8,6,16,4,8,2,0.25,0.25,1696536175,1696537975,14168
50,436,2023-10-05 20:36:29.1557443,2023-10-05 21:06:29.2145782,unl,random5,8,6,16,4,8,2,0.25,0.25,1696538189,1696539989,102564
51,437,2023-10-05 21:10:02.3852201,2023-10-05 21:40:02.4036303,unl,random5,8,6,16,4,8,2,0.25,0.25,1696540202,1696542002,207184
52,438,2023-10-05 21:43:35.8409111,2023-10-05 22:13:35.8424312,unl,random6,16,8,20,6,8,2,0.25,1.0,1696542215,1696544015,120567
53,439,2023-10-05 22:17:09.1751395,2023-10-05 22:47:09.1787232,unl,random6,16,8,20,6,8,2,0.25,1.0,1696544229,1696546029,207231
54,440,2023-10-05 22:50:43.0682169,2023-10-05 23:20:43.0768613,unl,random6,16,8,20,6,8,2,0.25,1.0,1696546243,1696548043,96777
55,441,2023-10-05 23:24:17.0038785,2023-10-05 23:54:17.0069524,unl,random7,10,8,16,4,8,4,0.25,1.0,1696548257,1696550057,158399
56,442,2023-10-05 23:57:51.4102025,2023-10-06 00:27:51.4130316,unl,random7,10,8,16,4,8,4,0.25,1.0,1696550271,1696552071,222671
61,447,2023-10-06 12:44:53.5773716,2023-10-06 13:14:53.5844533,general,reference,8,6,12,4,8,2,0.25,1.0,1696596293,1696598093,146083
62,448,2023-10-06 13:18:27.1607365,2023-10-06 13:48:27.1642755,general,reference,8,6,12,4,8,2,0.25,1.0,1696598307,1696600107,163235
63,449,2023-10-06 13:52:01.6920421,2023-10-06 14:22:01.7028468,general,reference,8,6,12,4,8,2,0.25,1.0,1696600321,1696602121,125575
64,450,2023-10-06 14:25:35.8012810,2023-10-06 14:55:35.8052178,general,informed,8,6,12,4,8,2,0.25,3.0,1696602335,1696604135,126305
65,451,2023-10-06 14:59:10.1991072,2023-10-06 15:29:10.2018783,general,informed,8,6,12,4,8,2,0.25,3.0,1696604350,1696606150,143688
66,452,2023-10-06 15:32:45.2488027,2023-10-06 16:02:45.2516475,general,informed,8,6,12,4,8,2,0.25,3.0,1696606365,1696608165,117248
67,453,2023-10-06 16:06:20.0990251,2023-10-06 16:36:20.1024894,general,informed0,16,8,20,16,8,4,0.5,1.0,1696608380,1696610180,165450
68,454,2023-10-06 16:39:54.9046144,2023-10-06 17:09:54.9073765,general,informed0,16,8,20,16,8,4,0.5,1.0,1696610394,1696612194,201769
69,455,2023-10-06 17:13:30.5007783,2023-10-06 17:43:30.5044457,general,informed0,16,8,20,16,8,4,0.5,1.0,1696612410,1696614210,72541
72,458,2023-10-06 18:54:16.5016001,2023-10-06 19:24:16.5047151,general,informed1,16,8,20,16,8,4,0.5,3.0,1696618456,1696620256,3870
73,459,2023-10-06 19:27:52.3103164,2023-10-06 19:57:52.3134117,general,informed2,16,8,20,16,8,4,0.5,0.5,1696620472,1696622272,29747
74,460,2023-10-06 20:01:25.7052156,2023-10-06 20:31:25.7072515,general,informed2,16,8,20,16,8,4,0.5,0.5,1696622485,1696624285,60071
75,461,2023-10-06 20:35:00.0697830,2023-10-06 21:05:00.0727044,general,informed2,16,8,20,16,8,4,0.5,0.5,1696624500,1696626300,80886
76,462,2023-10-06 21:08:34.5708728,2023-10-06 21:38:34.5737987,general,informed3,6,4,8,2,2,2,0.25,1.0,1696626514,1696628314,101741
77,463,2023-10-06 21:42:08.9047605,2023-10-06 22:12:08.9151720,general,informed3,6,4,8,2,2,2,0.25,1.0,1696628528,1696630328,67562
78,464,2023-10-06 22:15:43.7085680,2023-10-06 22:45:43.7128253,general,informed3,6,4,8,2,2,2,0.25,1.0,1696630543,1696632343,15948
81,467,2023-10-06 23:56:28.9721607,2023-10-07 00:26:28.9751726,general,informed4,6,4,8,2,2,4,4.25,3.0,1696636588,1696638388,6168
82,468,2023-10-07 00:30:03.4671049,2023-10-07 01:00:03.4709628,general,informed5,6,4,8,2,2,4,0.25,0.5,1696638603,1696640403,38578
83,469,2023-10-07 01:03:36.8665376,2023-10-07 01:33:36.9259411,general,informed5,6,4,8,2,2,4,0.25,0.5,1696640616,1696642416,45524
84,470,2023-10-07 01:37:10.5563973,2023-10-07 02:07:10.5602477,general,informed5,6,4,8,2,2,4,0.25,0.5,1696642630,1696644430,38482
