,experiment,_time,propagationTime,messageDuplicated,messageReceived,graft,prune,iwant,ihave
0,390,2023-10-04 18:52:00+00:00,1773.4891304347825,8684.0,1193.0,0.0,0.0,0.0,698.0
1,390,2023-10-04 18:52:10+00:00,2037.5556569343066,16138.0,2188.0,0.0,0.0,0.0,1032.0
2,390,2023-10-04 18:52:20+00:00,1770.8026859504132,13689.0,1874.0,0.0,0.0,0.0,1339.0
3,390,2023-10-04 18:52:30+00:00,1765.7519920318725,13750.0,1898.0,0.0,0.0,0.0,963.0
4,390,2023-10-04 18:52:40+00:00,1960.0338818973862,13993.0,1930.0,0.0,0.0,2.0,968.0
5,390,2023-10-04 18:52:50+00:00,1962.1329225352113,16160.0,2210.0,0.0,0.0,0.0,1283.0
6,390,2023-10-04 18:53:00+00:00,1982.2781007751937,13942.0,1926.0,0.0,0.0,0.0,970.0
7,390,2023-10-04 18:53:10+00:00,1808.0531220876048,14533.0,2002.0,0.0,0.0,0.0,961.0
8,390,2023-10-04 18:53:20+00:00,1996.014558689718,15959.0,2179.0,0.0,0.0,0.0,1292.0
9,390,2023-10-04 18:53:30+00:00,1823.9738267148014,14792.0,2039.0,0.0,0.0,0.0,957.0
10,390,2023-10-04 18:53:40+00:00,1776.671826625387,13902.0,1910.0,0.0,0.0,0.0,963.0
11,390,2023-10-04 18:53:50+00:00,1776.1993603411513,14715.0,2001.0,0.0,0.0,0.0,1285.0
12,390,2023-10-04 18:54:00+00:00,1859.7756202804746,13372.0,1829.0,0.0,0.0,0.0,967.0
13,390,2023-10-04 18:54:10+00:00,1825.207343412527,13634.0,1865.0,0.0,0.0,0.0,959.0
14,390,2023-10-04 18:54:20+00:00,1775.3650088809948,15663.0,2161.0,0.0,0.0,0.0,1283.0
15,390,2023-10-04 18:54:30+00:00,1835.593417231365,15640.0,2120.0,0.0,0.0,0.0,968.0
16,390,2023-10-04 18:54:40+00:00,1745.2241566920566,12699.0,1770.0,0.0,0.0,0.0,925.0
17,390,2023-10-04 18:54:50+00:00,1901.5910165484634,11112.0,1592.0,0.0,0.0,0.0,1145.0
18,390,2023-10-04 18:55:00+00:00,1710.5483170466885,12868.0,1827.0,0.0,0.0,0.0,866.0
19,390,2023-10-04 18:55:10+00:00,1646.275413711584,11509.0,1636.0,0.0,0.0,0.0,857.0
20,390,2023-10-04 18:55:20+00:00,1841.6634026927784,11117.0,1568.0,0.0,0.0,0.0,1140.0
21,390,2023-10-04 18:55:30+00:00,1821.7308120133482,12213.0,1736.0,0.0,0.0,0.0,858.0
22,390,2023-10-04 18:55:40+00:00,1658.6762342135476,12335.0,1753.0,0.0,0.0,0.0,853.0
23,390,2023-10-04 18:55:50+00:00,1762.7512376237623,11152.0,1579.0,0.0,0.0,0.0,1147.0
24,390,2023-10-04 18:56:00+00:00,1700.4131326949384,11022.0,1542.0,0.0,0.0,0.0,857.0
25,390,2023-10-04 18:56:10+00:00,1725.5085910652922,12886.0,1817.0,0.0,0.0,0.0,855.0
26,390,2023-10-04 18:56:20+00:00,1881.1644562334218,11354.0,1600.0,0.0,0.0,0.0,1150.0
27,390,2023-10-04 18:56:30+00:00,1792.081043956044,10960.0,1550.0,0.0,0.0,0.0,858.0
28,390,2023-10-04 18:56:40+00:00,1704.1454753722794,12073.0,1713.0,0.0,0.0,0.0,860.0
29,390,2023-10-04 18:56:50+00:00,1687.4190871369294,11196.0,1583.0,0.0,0.0,0.0,1138.0
30,390,2023-10-04 18:57:00+00:00,1597.131506849315,11205.0,1584.0,0.0,0.0,0.0,860.0
31,390,2023-10-04 18:57:10+00:00,1583.536830357143,12965.0,1836.0,0.0,0.0,0.0,860.0
32,390,2023-10-04 18:57:20+00:00,1721.0592991913747,11399.0,1606.0,0.0,0.0,0.0,1147.0
33,390,2023-10-04 18:57:30+00:00,1743.1575682382133,11673.0,1654.0,0.0,0.0,0.0,856.0
34,390,2023-10-04 18:57:40+00:00,1668.6300268096516,11030.0,1571.0,0.0,0.0,0.0,840.0
35,390,2023-10-04 18:57:50+00:00,1623.4258911819888,9112.0,1338.0,0.0,0.0,1.0,826.0
36,390,2023-10-04 18:58:00+00:00,1465.9193548387098,7881.0,1173.0,0.0,0.0,0.0,584.0
37,390,2023-10-04 18:58:10+00:00,1844.2487804878049,7237.0,1080.0,0.0,0.0,0.0,582.0
38,390,2023-10-04 18:58:20+00:00,1748.8237704918033,8517.0,1273.0,0.0,0.0,0.0,781.0
39,390,2023-10-04 18:58:30+00:00,1548.520782396088,7379.0,1085.0,0.0,0.0,0.0,583.0
40,390,2023-10-04 18:58:40+00:00,1593.0098522167489,7197.0,1072.0,0.0,0.0,0.0,587.0
41,390,2023-10-04 18:58:50+00:00,1511.5510204081634,8507.0,1269.0,0.0,0.0,1.0,779.0
42,390,2023-10-04 18:59:00+00:00,1513.641975308642,7044.0,1048.0,0.0,0.0,0.0,579.0
43,390,2023-10-04 18:59:10+00:00,1725.3557213930349,7754.0,1152.0,0.0,0.0,0.0,586.0
44,390,2023-10-04 18:59:20+00:00,1642.9769230769232,8795.0,1309.0,0.0,0.0,0.0,783.0
45,390,2023-10-04 18:59:30+00:00,1707.1608910891089,7287.0,1087.0,0.0,0.0,0.0,584.0
46,390,2023-10-04 18:59:40+00:00,1622.9027431421446,7411.0,1112.0,0.0,0.0,0.0,587.0
47,390,2023-10-04 18:59:50+00:00,1552.1604938271605,8876.0,1321.0,0.0,0.0,0.0,785.0
48,390,2023-10-04 19:00:00+00:00,1676.5536159600997,7201.0,1077.0,0.0,0.0,0.0,580.0
49,390,2023-10-04 19:00:10+00:00,1597.7087155963302,7087.0,1086.0,0.0,0.0,0.0,536.0
50,390,2023-10-04 19:00:20+00:00,1666.9037199124728,7444.0,1140.0,0.0,0.0,0.0,723.0
51,390,2023-10-04 19:00:30+00:00,1722.2262773722628,6636.0,1025.0,0.0,0.0,0.0,540.0
52,390,2023-10-04 19:00:40+00:00,1540.2214111922142,6913.0,1052.0,0.0,0.0,0.0,540.0
53,390,2023-10-04 19:00:50+00:00,1667.9648033126293,8309.0,1269.0,0.0,0.0,0.0,711.0
54,390,2023-10-04 19:01:00+00:00,1624.9323671497584,6964.0,1063.0,0.0,0.0,0.0,534.0
55,390,2023-10-04 19:01:10+00:00,1530.2096385542168,6713.0,1026.0,0.0,0.0,0.0,537.0
56,390,2023-10-04 19:01:20+00:00,1564.986013986014,7758.0,1177.0,0.0,0.0,1.0,705.0
57,390,2023-10-04 19:01:30+00:00,1439.172972972973,6373.0,973.0,0.0,0.0,0.0,442.0
58,390,2023-10-04 19:01:40+00:00,1552.0133333333333,6362.0,976.0,0.0,0.0,0.0,436.0
59,390,2023-10-04 19:01:50+00:00,1701.4164383561645,6177.0,938.0,0.0,0.0,0.0,585.0
60,390,2023-10-04 19:02:00+00:00,1581.5278514588858,6115.0,941.0,0.0,0.0,0.0,439.0
61,390,2023-10-04 19:02:10+00:00,1627.4795640326975,6219.0,937.0,0.0,0.0,0.0,435.0
62,390,2023-10-04 19:02:20+00:00,1599.0849315068492,5863.0,895.0,0.0,0.0,0.0,584.0
63,390,2023-10-04 19:02:30+00:00,1562.1594594594594,6445.0,982.0,0.0,0.0,0.0,440.0
64,390,2023-10-04 19:02:40+00:00,1418.2654028436018,3625.0,554.0,0.0,0.0,0.0,393.0
65,390,2023-10-04 19:06:20+00:00,4390.883582089552,6212.0,718.0,1496.0,222.0,0.0,793.0
66,390,2023-10-04 19:06:30+00:00,3012.9842357779303,47863.0,6402.0,0.0,0.0,0.0,2405.0
67,390,2023-10-04 19:06:40+00:00,2682.6352309756567,43490.0,5846.0,0.0,0.0,0.0,2853.0
68,390,2023-10-04 19:06:50+00:00,2886.544226044226,40514.0,5452.0,0.0,0.0,0.0,2737.0
69,390,2023-10-04 19:07:00+00:00,2822.2291507268556,45090.0,6073.0,0.0,0.0,0.0,2285.0
70,390,2023-10-04 19:07:10+00:00,2665.7575005639524,38333.0,5154.0,0.0,0.0,0.0,2610.0
71,390,2023-10-04 19:07:20+00:00,2662.490081154193,38328.0,5130.0,0.0,0.0,0.0,2533.0
72,390,2023-10-04 19:07:30+00:00,2551.6490108487556,41129.0,5512.0,0.0,0.0,0.0,2187.0
73,390,2023-10-04 19:07:40+00:00,2663.921589236914,40939.0,5485.0,0.0,0.0,0.0,2619.0
74,390,2023-10-04 19:07:50+00:00,2547.2889361702128,41230.0,5527.0,1.0,0.0,0.0,2520.0
75,390,2023-10-04 19:08:00+00:00,2596.717942804428,37666.0,5028.0,0.0,0.0,0.0,2206.0
76,390,2023-10-04 19:08:10+00:00,2458.0134748877094,42555.0,5747.0,0.0,0.0,3.0,2551.0
77,390,2023-10-04 19:08:20+00:00,2260.220091027308,30707.0,4205.0,0.0,0.0,1.0,2247.0
78,390,2023-10-04 19:08:30+00:00,2107.37246216316,28685.0,3956.0,0.0,0.0,0.0,1786.0
79,390,2023-10-04 19:08:40+00:00,2225.9663897280966,31701.0,4396.0,0.0,0.0,2.0,1945.0
80,390,2023-10-04 19:08:50+00:00,2129.307004470939,24666.0,3444.0,0.0,0.0,2.0,1829.0
81,390,2023-10-04 19:09:00+00:00,2227.0087006960557,23132.0,3235.0,0.0,0.0,0.0,1491.0
