,identifier,messageReceived,messageDuplicated,graft,prune,iwant,ihave
0,0,1681977.0,242460.0,1537.0,125.0,17.0,109756.0
1,3,1843504.0,164486.0,2137.0,0.0,1.0,4868.0
2,6,1428254.0,124371.0,2138.0,0.0,0.0,792.0
3,12,762906.0,156136.0,1387.0,135.0,12.0,71454.0
4,13,1778309.0,351875.0,1469.0,308.0,46.0,141786.0
5,18,870750.0,151214.0,2136.0,0.0,2.0,4869.0
6,21,1998816.0,205431.0,2134.0,0.0,0.0,9774.0
7,23,2013329.0,198723.0,1819.0,0.0,14.0,8629.0
8,27,1957411.0,217007.0,2138.0,0.0,1.0,9194.0
9,29,1008492.0,108908.0,1777.0,14.0,23.0,185785.0
10,32,1440218.0,137453.0,1739.0,28.0,26.0,133297.0
11,36,1268845.0,205555.0,1888.0,0.0,11.0,79433.0
12,39,1541024.0,205727.0,1815.0,1.0,20.0,105559.0
13,42,1708560.0,220485.0,1734.0,0.0,31.0,179182.0
14,43,1136304.0,162321.0,297.0,33.0,18.0,145200.0
15,47,1846117.0,142697.0,432.0,22.0,40.0,230620.0
16,49,3116919.0,200319.0,464.0,23.0,20.0,90616.0
17,54,384026.0,80689.0,332.0,128.0,8.0,40464.0
18,56,348588.0,67463.0,309.0,105.0,10.0,55042.0
19,61,393803.0,45441.0,538.0,0.0,0.0,6.0
20,63,1088732.0,87841.0,475.0,5.0,11.0,78216.0
21,67,1726008.0,122104.0,462.0,45.0,18.0,167692.0
22,69,1334657.0,107731.0,462.0,66.0,18.0,156986.0
23,72,1081522.0,111533.0,338.0,30.0,38.0,333204.0
24,75,1251302.0,128834.0,331.0,29.0,56.0,291225.0
25,80,90768.0,21229.0,327.0,0.0,5.0,20.0
26,83,361397.0,45352.0,398.0,37.0,3.0,39901.0
27,85,457832.0,55672.0,399.0,46.0,6.0,32462.0
