,identifier,Type2,Type3,Type11,Type12,Type16,Type17,Unnamed: 0,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,n_nodes,consensus,propagationTime,stddev_propagationTime,messageOverhead,stddev_messageOverhead,bandwidth,stddev_bandwidth
0,0,1129,1126,5,3,13,1054,0,unl,8,6,12,4,8,2,0.25,1.0,24,3.0228718381523665,2149.2160251709283,257.42103543949446,1262081.5,255305.8530948713,1830.489558835767,359.0061951941889
1,12,916,917,15,13,8,808,3,unl,16,8,20,16,8,4,0.5,0.5,24,3.0739172412213738,6674.953667188522,0.0,388920.0,0.0,621.5363113044064,0.0
2,13,1259,1259,28,23,12,529,4,unl,6,4,8,2,2,2,0.25,1.0,24,3.038808235026493,3089.497824504489,259.14343487398014,859426.5,79732.65353981391,1362.596342585175,129.11075019652736
3,29,570,570,3,1,13,693,9,unl,16,8,20,4,8,2,0.25,1.0,24,3.044116202062692,1963.333217028904,48.432417056280975,809796.5,45515.75639819688,1166.5086775573654,67.75741922517687
4,32,766,766,3,1,15,935,10,unl,8,6,16,4,8,2,0.25,1.0,24,3.0485585530332684,2100.5565889973896,0.0,1101182.0,0.0,1514.8350872214971,0.0
5,39,1230,1230,4,1,10,939,12,unl,16,8,20,6,8,2,0.25,1.0,24,3.033486515546055,1894.8311582900976,0.0,961705.0,0.0,1371.550094195475,0.0
6,43,1090,1090,3,3,4,1055,14,general,8,6,12,4,8,2,0.25,1.0,24,3.0272961032626444,1464.153005006336,36.56941392222733,510204.5,2633.972759919889,763.5660527815546,1.841377756295845
7,47,1074,1074,2,2,22,1579,15,general,8,6,12,4,8,2,0.25,3.0,24,3.038572239460371,1358.0424662290116,0.0,962810.0,0.0,1300.484884695929,0.0
8,49,1019,1017,1,2,9,528,16,general,16,8,20,16,8,4,0.5,1.0,24,3.022933559131573,1598.5760649873037,401.4285453247224,1251066.5,195548.25901679616,1585.2240303277908,251.4023929004204
9,54,1073,1071,8,5,6,955,17,general,16,8,20,16,8,4,0.5,0.5,24,3.020447167690751,1595.1301034981843,106.84054147295468,148231.5,42640.66022589237,251.2759567899942,51.31049461142046
10,56,951,949,14,9,2,836,18,general,6,4,8,2,2,2,0.25,1.0,24,3.018980903587708,2616.899638547975,235.1049720469861,183178.5,75939.73276552928,290.45316406887576,107.53849635821992
11,63,1024,1024,2,1,7,1582,20,general,20,16,24,8,16,8,0.5,1.0,24,3.025190113981896,1502.9386758035969,141.51070257109416,460779.5,31181.287729983185,629.1740794236081,19.024874574187336
12,67,1085,1084,1,2,13,1579,21,general,16,8,20,4,8,2,0.5,1.0,24,3.022902084673135,1976.881436756477,41.4433531560698,869609.0,57752.23924663008,1142.0250999501036,58.90310907846513
13,69,1091,1090,2,2,10,1581,22,general,16,8,20,8,8,4,0.25,1.0,24,3.0227642827389865,1929.916503201164,513.9919464696375,635603.5,7907.575134009161,848.4205130225753,39.482209962455336
14,72,963,962,2,1,18,1583,23,general,16,8,20,4,8,2,0.25,1.0,24,3.019931018609583,1830.4966387949555,343.0266410506438,496748.5,140378.37373505934,758.2724659592839,181.22105155872063
15,75,1038,1038,3,2,23,1582,24,general,8,6,16,4,8,2,0.25,1.0,24,3.0295015195150725,1533.9733667421774,10.701799603040309,704585.5,110957.07478344948,1034.0559048543803,160.1649734910404
16,83,1130,1129,3,2,3,1578,26,general,16,8,20,6,8,2,0.25,1.0,24,3.0532718003814647,1530.800088673373,554.3561861856844,155798.5,11887.172098527051,224.660774869966,19.153203031466056
17,85,1049,1049,4,2,5,1579,27,general,10,8,16,4,8,4,0.25,1.0,24,3.023548310107888,1093.3709764667774,56.07386129574899,199819.5,2297.389932075093,284.20717158745987,2.884188535278507
18,3,1092,1087,2,0,1,933,1,unl,8,6,12,4,8,2,0.25,3.0,24,3.0264713909548124,2160.133106907924,126.5868845889026,1220458.0,107468.91703185624,1606.1696389234753,164.05445729651777
19,6,1238,1251,4,0,0,246,2,unl,16,8,20,16,8,4,0.5,1.0,24,3.0275365917419577,2008.6366992226788,159.6081455938834,991947.5,137230.33434521683,1299.755179725617,158.10894359265913
