,identifier,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,n_nodes,consensus
0,0,unl,8,6,12,4,8,2,0.25,1.0,24,3.0228718381523665
1,3,unl,8,6,12,4,8,2,0.25,3.0,24,3.0264713909548124
2,6,unl,16,8,20,16,8,4,0.5,1.0,24,3.0275365917419577
3,12,unl,16,8,20,16,8,4,0.5,0.5,24,3.0739172412213738
4,13,unl,6,4,8,2,2,2,0.25,1.0,24,3.038808235026493
5,18,unl,6,4,8,2,2,4,0.25,0.5,24,3.014394654092474
6,21,unl,20,16,24,8,16,8,0.5,1.0,24,3.02990422244937
7,23,unl,16,8,20,4,8,2,0.5,1.0,24,3.0210191598604235
8,27,unl,16,8,20,8,8,4,0.25,1.0,24,3.0257039020034844
9,29,unl,16,8,20,4,8,2,0.25,1.0,24,3.0441162020626913
10,32,unl,8,6,16,4,8,2,0.25,1.0,24,3.0485585530332684
11,36,unl,8,6,16,4,8,2,0.25,0.25,24,3.0556373629582723
12,39,unl,16,8,20,6,8,2,0.25,1.0,24,3.033486515546055
13,42,unl,10,8,16,4,8,4,0.25,1.0,24,3.057284545357751
14,43,general,8,6,12,4,8,2,0.25,1.0,24,3.0272961032626444
15,47,general,8,6,12,4,8,2,0.25,3.0,24,3.038572239460371
16,49,general,16,8,20,16,8,4,0.5,1.0,24,3.022933559131573
17,54,general,16,8,20,16,8,4,0.5,0.5,24,3.020447167690751
18,56,general,6,4,8,2,2,2,0.25,1.0,24,3.0189809035877078
19,61,general,6,4,8,2,2,4,0.25,0.5,24,3.0280507208534417
20,63,general,20,16,24,8,16,8,0.5,1.0,24,3.025190113981896
21,67,general,16,8,20,4,8,2,0.5,1.0,24,3.022902084673135
22,69,general,16,8,20,8,8,4,0.25,1.0,24,3.0227642827389865
23,72,general,16,8,20,4,8,2,0.25,1.0,24,3.019931018609583
24,75,general,8,6,16,4,8,2,0.25,1.0,24,3.0295015195150725
25,80,general,8,6,16,4,8,2,0.25,0.25,24,3.0277863508006293
26,83,general,16,8,20,6,8,2,0.25,1.0,24,3.0532718003814647
27,85,general,10,8,16,4,8,4,0.25,1.0,24,3.0235483101078877
