,identifier,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,n_nodes,bandwidth
0,2,unl,8,6,12,4,8,2,0.25,1.0,23,349.4739523878635
1,3,unl,8,6,12,4,8,2,0.25,0.5,23,413.64807349744865
2,6,unl,8,6,12,4,8,2,0.25,30.0,23,1056.9935407730197
3,9,unl,8,6,12,4,8,2,0.25,3.0,23,744.672331213939
4,12,unl,24,6,12,4,8,2,0.25,1.0,23,824.4639652328283
5,15,unl,12,6,12,4,8,2,0.25,1.0,23,961.1395339432171
6,18,unl,6,6,12,4,8,2,0.25,1.0,23,621.270477029481
7,21,unl,8,2,12,4,8,2,0.25,1.0,23,604.5608077405393
8,24,unl,8,3,12,4,8,2,0.25,1.0,23,360.85953990055515
9,27,unl,8,8,12,4,8,2,0.25,1.0,23,287.54485309636624
10,30,unl,8,6,6,4,8,2,0.25,1.0,23,691.787544426487
11,33,unl,8,6,24,4,8,2,0.25,1.0,23,788.9137004369496
12,36,unl,8,6,8,4,8,2,0.25,1.0,23,863.4540078042152
13,39,unl,8,6,12,2,8,2,0.25,1.0,23,826.257641156892
14,42,unl,8,6,12,6,8,2,0.25,1.0,23,684.1396311278771
15,45,unl,8,6,12,8,8,2,0.25,1.0,23,732.894715277918
16,48,unl,8,6,12,4,16,2,0.25,1.0,23,913.7908590041557
17,51,unl,8,6,12,4,4,2,0.25,1.0,23,786.2506409207452
18,54,unl,8,6,12,4,6,2,0.25,1.0,23,732.8252192491954
19,57,unl,8,6,12,4,8,4,0.25,1.0,23,754.9945444292084
20,60,unl,8,6,12,4,8,6,0.25,1.0,23,898.4923832212056
21,63,unl,8,6,12,4,8,1,0.25,1.0,23,675.9237618460572
22,66,unl,8,6,12,4,8,2,0.5,1.0,23,669.2393188307967
23,69,unl,8,6,12,4,8,2,1.0,1.0,23,347.46985732418983
24,77,general,8,6,12,4,8,2,0.25,1.0,23,5.7655465766776866
25,78,general,8,6,12,4,8,2,0.25,0.5,23,298.372915149215
26,81,general,8,6,12,4,8,2,0.25,30.0,23,376.94744327169633
27,84,general,8,6,12,4,8,2,0.25,3.0,23,189.4109297480185
28,87,general,24,6,12,4,8,2,0.25,1.0,23,330.22221343225544
29,90,general,12,6,12,4,8,2,0.25,1.0,23,393.50639975542236
30,93,general,6,6,12,4,8,2,0.25,1.0,23,486.02321507296875
31,96,general,8,2,12,4,8,2,0.25,1.0,23,508.7160391963683
32,99,general,8,3,12,4,8,2,0.25,1.0,23,483.11520478043013
33,102,general,8,8,12,4,8,2,0.25,1.0,23,57.03474872748641
34,105,general,8,6,6,4,8,2,0.25,1.0,23,393.295819893103
35,108,general,8,6,24,4,8,2,0.25,1.0,23,448.564310112928
36,111,general,8,6,8,4,8,2,0.25,1.0,23,711.3731500082226
37,114,general,8,6,12,2,8,2,0.25,1.0,23,633.8382203310006
38,117,general,8,6,12,6,8,2,0.25,1.0,23,673.8633574574558
39,120,general,8,6,12,8,8,2,0.25,1.0,23,595.0478580502995
40,123,general,8,6,12,4,16,2,0.25,1.0,23,597.5486497007835
41,126,general,8,6,12,4,4,2,0.25,1.0,23,552.246218295293
42,129,general,8,6,12,4,6,2,0.25,1.0,23,607.1749146729791
43,132,general,8,6,12,4,8,4,0.25,1.0,23,595.6064490630812
44,135,general,8,6,12,4,8,6,0.25,1.0,23,441.47166210461666
45,138,general,8,6,12,4,8,1,0.25,1.0,23,700.164596124669
46,141,general,8,6,12,4,8,2,0.5,1.0,23,512.0288052026691
47,144,general,8,6,12,4,8,2,1.0,1.0,23,426.4849370709899
