,identifier,experiment,type,_time,count
0,0,391.0,2.0,2023-10-04 19:25:30+00:00,1574
1,0,391.0,2.0,2023-10-04 19:25:40+00:00,6412
2,0,391.0,2.0,2023-10-04 19:25:50+00:00,4602
3,0,391.0,2.0,2023-10-04 19:26:00+00:00,4605
4,0,391.0,2.0,2023-10-04 19:26:10+00:00,6171
5,0,391.0,2.0,2023-10-04 19:26:20+00:00,4642
6,0,391.0,2.0,2023-10-04 19:26:30+00:00,4643
7,0,391.0,2.0,2023-10-04 19:26:40+00:00,6142
8,0,391.0,2.0,2023-10-04 19:26:50+00:00,5016
9,0,391.0,2.0,2023-10-04 19:27:00+00:00,4996
10,0,391.0,2.0,2023-10-04 19:27:10+00:00,5664
11,0,391.0,2.0,2023-10-04 19:27:20+00:00,5088
12,0,391.0,2.0,2023-10-04 19:27:30+00:00,4802
13,0,391.0,2.0,2023-10-04 19:27:40+00:00,2453
14,0,391.0,2.0,2023-10-04 19:27:50+00:00,2969
15,0,391.0,2.0,2023-10-04 19:28:00+00:00,2462
16,0,391.0,2.0,2023-10-04 19:28:10+00:00,2461
17,0,391.0,2.0,2023-10-04 19:28:20+00:00,3095
18,0,391.0,2.0,2023-10-04 19:28:30+00:00,2614
19,0,391.0,2.0,2023-10-04 19:28:40+00:00,2631
20,0,391.0,2.0,2023-10-04 19:28:50+00:00,2411
21,0,391.0,2.0,2023-10-04 19:29:00+00:00,2982
22,0,391.0,2.0,2023-10-04 19:29:10+00:00,2561
23,0,391.0,2.0,2023-10-04 19:29:20+00:00,2793
24,0,391.0,2.0,2023-10-04 19:29:30+00:00,2820
25,0,391.0,2.0,2023-10-04 19:29:40+00:00,3092
26,0,391.0,2.0,2023-10-04 19:29:50+00:00,3007
27,0,391.0,2.0,2023-10-04 19:30:00+00:00,2840
28,0,391.0,2.0,2023-10-04 19:30:10+00:00,2660
29,0,391.0,2.0,2023-10-04 19:30:20+00:00,3024
30,0,391.0,2.0,2023-10-04 19:30:30+00:00,2865
31,0,391.0,2.0,2023-10-04 19:30:40+00:00,2453
32,0,391.0,2.0,2023-10-04 19:30:50+00:00,3020
33,0,391.0,2.0,2023-10-04 19:31:00+00:00,2600
34,0,391.0,2.0,2023-10-04 19:31:10+00:00,2387
35,0,391.0,2.0,2023-10-04 19:31:20+00:00,3120
36,0,391.0,2.0,2023-10-04 19:31:30+00:00,2677
37,0,391.0,2.0,2023-10-04 19:31:40+00:00,2598
38,0,391.0,2.0,2023-10-04 19:31:50+00:00,2758
39,0,391.0,2.0,2023-10-04 19:32:00+00:00,2848
40,0,391.0,2.0,2023-10-04 19:32:10+00:00,2648
41,0,391.0,2.0,2023-10-04 19:32:20+00:00,2508
